,City,Cloudiness,Country,Date,Humidity,latitude,longitude,Max Temp,Wind Speed,Latitude,Longitude
118,Saint-Joseph,0,FR,1551851112,75,,,48,3,43.0,6.0
119,Altamont,68,CA,1551850895,100,,,8,3,49.0,-98.0
120,Mehamn,90,NO,1551849600,85,,,24,14,71.0,27.0
121,Sao Borja,80,BR,1551851122,70,,,79,6,-28.0,-56.0
122,Upernavik,68,GL,1551851122,100,,,9,10,72.0,-56.0
123,Puerto Leguizamo,32,CO,1551851122,96,,,73,2,0.0,-74.0
124,Alofi,0,NU,1551848400,69,,,80,12,-19.0,-169.0
125,Puerto Ayora,0,EC,1551851122,100,,,77,7,0.0,-90.0
126,Matagami,20,NG,1551851123,81,,,63,2,9.0,8.0
127,Torphins,90,GB,1551851043,93,,,37,3,57.0,-2.0
128,San Patricio,0,PY,1551851123,79,,,75,4,-26.0,-56.0
129,Gamba,0,CN,1551851123,100,,,17,2,28.0,88.0
130,Kovdor,0,RU,1551851123,81,,,4,8,67.0,30.0
131,Esperance,20,TT,1551851107,94,,,75,5,10.0,-61.0
132,Magadan,44,RU,1551851083,100,,,12,3,59.0,150.0
133,Fort Pierce,1,US,1551850890,87,,,55,8,27.0,-80.0
134,Manavalakurichi,40,IN,1551850200,62,,,89,9,8.0,77.0
135,Barrow,12,AR,1551851125,60,,,63,9,-38.0,-60.0
136,Tasiilaq,32,GL,1551847800,37,,,19,11,65.0,-37.0
137,Butaritari,92,KI,1551851125,100,,,75,0,3.0,172.0
138,Namatanai,36,PG,1551851125,95,,,84,7,-3.0,152.0
139,Riyadh,0,SA,1551848400,20,,,64,8,24.0,46.0
140,Hualmay,8,PE,1551851126,92,,,66,3,-11.0,-77.0
141,Port Alfred,0,ZA,1551851116,83,,,71,3,-33.0,26.0
142,Kimbe,56,PG,1551851126,95,,,84,3,-5.0,150.0
143,Bandarbeyla,8,SO,1551851126,100,,,79,15,9.0,50.0
144,Villa Alemana,0,CL,1551848400,76,,,66,4,-33.0,-71.0
145,Ponta Delgada,40,PT,1551851077,62,,,55,6,37.0,-25.0
146,Cabra,48,ES,1551851008,87,,,57,9,37.0,-4.0
147,Balkhash,75,KZ,1551850200,79,,,24,17,46.0,74.0
148,Cherskiy,76,RU,1551851127,74,,,0,3,68.0,161.0
149,Omboue,48,GA,1551851127,100,,,80,2,-1.0,9.0
150,Thompson,90,CA,1551848400,70,,,0,6,55.0,-97.0
151,Faanui,76,PF,1551851127,100,,,83,8,-16.0,-151.0
152,Ancud,90,CL,1551848400,100,,,55,20,-41.0,-73.0
153,Utrecht,0,NL,1551850971,93,,,48,14,52.0,5.0
154,Presidente Medici,24,BR,1551851128,95,,,73,2,-11.0,-61.0
155,Faya,40,SA,1551848400,82,,,60,12,18.0,42.0
156,Makakilo City,75,US,1551850859,72,,,69,4,21.0,-158.0
157,Viedma,44,AR,1551851128,33,,,62,12,-40.0,-62.0
158,Ozernovskiy,12,RU,1551851128,83,,,20,10,51.0,156.0
159,Indian Head,48,CA,1551850854,74,,,1,10,50.0,-103.0
160,Nelson Bay,36,AU,1551850620,33,,,87,17,-32.0,152.0
161,Easton,80,US,1551850930,57,,,23,8,42.0,-71.0
162,Mugan,68,CN,1551851129,44,,,31,2,35.0,101.0
163,Playa del Carmen,75,MX,1551850985,88,,,78,7,20.0,-87.0
164,Salalah,20,OM,1551847800,57,,,78,2,17.0,54.0
165,Hirara,75,JP,1551848400,78,,,73,11,24.0,125.0
166,Torbay,40,CA,1551851129,73,,,25,16,47.0,-52.0
167,Lata,0,IN,1551851130,77,,,47,2,30.0,78.0
168,La Paz,75,MX,1551850335,55,,,64,4,24.0,-110.0
169,Tsaratanana,36,MG,1551851130,98,,,75,3,-16.0,47.0
170,Buta,8,CD,1551851131,89,,,78,2,2.0,24.0
171,Vila Velha,75,BR,1551850703,88,,,79,8,-3.0,-38.0
172,Soyo,75,AO,1551848400,88,,,77,3,-6.0,12.0
173,Kavieng,32,PG,1551851131,100,,,84,5,-2.0,150.0
174,Grants,1,US,1551850500,48,,,41,11,35.0,-107.0
175,My Tho,40,VN,1551850200,38,,,93,5,10.0,106.0
176,Sitka,0,US,1551850262,66,,,19,1,37.0,-99.0
177,Mokhsogollokh,68,RU,1551851132,70,,,19,4,61.0,128.0
178,Sola,75,NO,1551851115,86,,,37,12,58.0,5.0
179,Cabo San Lucas,40,MX,1551850857,68,,,70,5,22.0,-109.0
180,Imbituba,40,BR,1551848400,88,,,78,3,-28.0,-48.0
181,Tautira,20,PF,1551850986,74,,,82,3,-17.0,-149.0
182,Mayumba,80,GA,1551851132,100,,,77,2,-3.0,10.0
183,Cockburn Town,80,TC,1551851131,99,,,77,11,21.0,-71.0
184,Sechura,32,PE,1551851133,84,,,75,8,-5.0,-80.0
185,Kahului,40,US,1551850879,56,,,71,9,20.0,-156.0
186,Raudeberg,75,NO,1551851103,80,,,39,8,61.0,5.0
187,Hofn,20,IS,1551851133,100,,,28,9,64.0,-15.0
188,Rio Grande,44,BR,1551851114,98,,,73,7,-32.0,-52.0
189,Gravdal,75,NO,1551851127,86,,,39,9,59.0,5.0
190,Bethel,40,US,1551848160,100,,,30,8,60.0,-161.0
191,Chokurdakh,0,RU,1551851134,62,,,-21,2,70.0,147.0
192,Luderitz,0,NA,1551851134,92,,,59,1,-26.0,15.0
193,Mahebourg,40,MU,1551851044,66,,,84,8,-20.0,57.0
194,Dikson,48,RU,1551851134,100,,,9,13,73.0,80.0
195,Beloha,56,MG,1551851135,67,,,81,14,-25.0,45.0
196,Talaja,0,IN,1551851135,47,,,82,6,21.0,72.0
197,Champua,0,IN,1551851135,61,,,81,5,22.0,85.0
198,Chama,24,ZM,1551851135,89,,,69,4,-11.0,33.0
199,Hobart,40,AU,1551851055,58,,,55,3,-42.0,147.0
200,Baker City,90,US,1551850329,90,,,35,3,44.0,-117.0
201,Xingcheng,0,CN,1551851135,36,,,44,19,40.0,120.0
202,Bathsheba,40,BB,1551848400,78,,,77,18,13.0,-59.0
203,Batken,24,KG,1551850888,88,,,47,3,40.0,70.0
204,Nioro,32,GM,1551851136,29,,,65,8,13.0,-15.0
205,Biak,68,ID,1551851136,65,,,89,2,0.0,122.0
206,Sorong,24,ID,1551851136,100,,,82,6,0.0,131.0
207,Mahroni,0,IN,1551851067,71,,,70,4,24.0,78.0
208,Lapeer,40,US,1551851116,66,,,14,6,43.0,-83.0
209,Camapua,12,BR,1551851136,91,,,69,3,-19.0,-54.0
210,Hammerfest,75,NO,1551849600,85,,,19,43,70.0,23.0
211,Pangnirtung,44,CA,1551851137,71,,,-6,5,66.0,-65.0
212,Quesnel,76,CA,1551850831,74,,,8,2,52.0,-122.0
213,Nefteyugansk,0,RU,1551848400,78,,,8,6,61.0,72.0
214,Port Augusta,40,AU,1551850798,46,,,73,19,-32.0,137.0
215,Shaoxing,75,CN,1551851052,67,,,57,8,30.0,120.0
216,San Luis,12,AR,1551851138,73,,,69,5,-33.0,-66.0
217,Norman Wells,5,CA,1551848400,76,,,-4,2,65.0,-126.0
218,Flinders,75,AU,1551851138,41,,,82,23,-34.0,150.0
219,Portland,75,US,1551850915,50,,,36,11,45.0,-122.0
220,Qasigiannguit,8,GL,1551847800,60,,,10,4,68.0,-51.0
221,Ahuimanu,40,US,1551851100,83,,,69,12,21.0,-157.0
222,Saint George,0,GR,1551851009,66,,,52,4,39.0,22.0
223,San Carlos de Bariloche,40,AR,1551848400,57,,,51,25,-41.0,-71.0
224,Kutum,0,SD,1551851139,27,,,62,11,14.0,24.0
225,Grindavik,40,IS,1551850756,79,,,24,8,63.0,-22.0
226,Hamilton,90,BM,1551850274,94,,,70,29,32.0,-64.0
227,Ribeira Grande,8,PT,1551851140,99,,,58,16,38.0,-28.0
228,Ahipara,44,NZ,1551849247,73,,,75,4,-35.0,173.0
229,Junnar,0,IN,1551851140,34,,,79,3,19.0,73.0
230,Vestmannaeyjar,0,IS,1551851140,100,,,24,8,63.0,-20.0
231,La Orilla,0,MX,1551851140,100,,,68,1,18.0,-102.0
232,South Lake Tahoe,1,US,1551850924,75,,,48,8,38.0,-119.0
233,Naze,48,NG,1551851140,94,,,73,2,5.0,7.0
234,Port Moresby,40,PG,1551848400,70,,,87,17,-9.0,147.0
235,Port Blair,20,IN,1551851141,100,,,81,2,11.0,92.0
236,Brzesko,20,PL,1551851126,75,,,39,9,49.0,20.0
237,Megion,0,RU,1551848400,84,,,8,8,61.0,76.0
238,Paita,36,PE,1551851141,84,,,74,3,-5.0,-81.0
239,Abeokuta,40,NG,1551848400,94,,,80,2,7.0,3.0
240,Meridian,1,US,1551848280,55,,,32,4,32.0,-88.0
241,Guayaquil,75,EC,1551850374,88,,,79,1,-2.0,-79.0
242,Vao,0,EE,1551851142,83,,,7,3,59.0,26.0
243,Campbellton,56,CA,1551851142,79,,,10,3,48.0,-66.0
244,Canala,80,NC,1551850200,62,,,86,10,-21.0,165.0
245,Banff,0,CA,1551851014,64,,,-8,1,51.0,-115.0
246,Geraldton,5,CA,1551848400,75,,,-14,3,49.0,-86.0
247,Casino,0,AU,1551850946,26,,,96,10,-28.0,153.0
248,Walvis Bay,90,NA,1551848524,88,,,66,6,-22.0,14.0
249,Uulu,0,EE,1551850564,66,,,8,2,58.0,24.0
250,Francisco Sa,24,BR,1551851143,94,,,66,4,-16.0,-43.0
251,Sumenep,56,ID,1551851143,94,,,85,12,-7.0,113.0
252,Diamantino,12,BR,1551851143,86,,,75,4,-14.0,-56.0
253,Sechenovo,56,RU,1551851143,93,,,34,17,55.0,45.0
254,Kittery,75,US,1551850962,44,,,24,5,43.0,-70.0
255,Nabire,56,ID,1551851144,96,,,74,1,-3.0,135.0
256,Kieta,56,PG,1551851144,88,,,83,5,-6.0,155.0
257,Cayenne,88,GF,1551850200,94,,,73,6,4.0,-52.0
258,Kharp,64,RU,1551851144,71,,,-6,7,66.0,65.0
259,Havre-Saint-Pierre,20,CA,1551848400,65,,,5,9,50.0,-63.0
260,Itacare,80,BR,1551851144,100,,,78,2,-14.0,-39.0
261,Enkhuizen,90,NL,1551851141,93,,,46,13,52.0,5.0
262,Batticaloa,0,LK,1551851145,90,,,85,4,7.0,81.0
263,Zakamensk,0,RU,1551851145,57,,,40,3,50.0,103.0
264,Lebu,76,ET,1551851145,87,,,55,3,8.0,38.0
265,Alexander City,1,US,1551851133,43,,,34,6,32.0,-85.0
266,Mocuba,88,MZ,1551851145,100,,,74,4,-16.0,36.0
267,Zhigansk,92,RU,1551851145,81,,,13,13,66.0,123.0
268,San Ramon,92,NI,1551850863,89,,,66,5,12.0,-85.0
269,Bedburg,75,DE,1551851146,87,,,48,5,51.0,6.0
270,Rehoboth,36,NA,1551851146,58,,,66,3,-23.0,17.0
271,Lazaro Cardenas,24,MX,1551851042,37,,,57,1,28.0,-105.0
272,Constantine,0,DZ,1551848400,80,,,41,2,36.0,6.0
273,Ciudad del Maiz,92,MX,1551851147,94,,,42,3,22.0,-99.0
274,Bay Roberts,40,CA,1551851146,73,,,25,16,47.0,-53.0
275,Neuquen,0,AR,1551848400,87,,,51,6,-38.0,-68.0
276,Tehachapi,75,US,1551850859,100,,,57,2,35.0,-118.0
277,Ningxiang,90,CN,1551848400,82,,,55,6,28.0,112.0
278,Abbeville,90,FR,1551851070,81,,,48,11,50.0,1.0
279,Sweetwater,1,US,1551851136,71,,,32,5,32.0,-100.0
280,Loikaw,0,MM,1551851148,50,,,80,4,19.0,97.0
281,Powell,1,US,1551850987,85,,,15,9,40.0,-83.0
282,Bakchar,48,RU,1551851148,76,,,23,4,57.0,82.0
283,Olenino,68,RU,1551851148,81,,,17,17,56.0,33.0
284,Ust-Nera,0,RU,1551851148,72,,,-13,2,64.0,143.0
285,Sitangkai,24,PH,1551851148,100,,,82,1,4.0,119.0
286,Grand Valley,1,CA,1551851129,71,,,10,12,43.0,-80.0
287,Pacasmayo,56,PE,1551851149,94,,,72,6,-7.0,-79.0
288,Muri,0,CH,1551851136,92,,,37,1,46.0,7.0
289,Gwadar,0,PK,1551851149,72,,,71,4,25.0,62.0
290,Kholm-Zhirkovskiy,56,RU,1551851149,74,,,19,13,55.0,33.0
291,Manhumirim,76,BR,1551851149,98,,,66,3,-20.0,-41.0
292,Caluquembe,92,AO,1551851149,99,,,64,2,-13.0,14.0
293,Bilibino,80,RU,1551851150,71,,,2,2,68.0,166.0
294,Skegness,90,GB,1551851120,100,,,48,18,53.0,0.0
295,Byron Bay,0,AU,1551850946,78,,,96,18,-28.0,153.0
296,Natal,75,BR,1551848400,94,,,77,5,-5.0,-35.0
297,Katherine,40,AU,1551848400,30,,,98,11,-14.0,132.0
298,Guerrero Negro,24,MX,1551851150,100,,,55,5,27.0,-114.0
299,Molagavita,12,CO,1551851150,93,,,47,1,6.0,-72.0
300,Dedza,80,MW,1551851150,85,,,68,11,-14.0,34.0
301,Trelew,8,AR,1551851151,49,,,54,9,-43.0,-65.0
302,Qandala,20,SO,1551851151,82,,,76,1,11.0,49.0
303,Mitsamiouli,20,KM,1551848400,66,,,86,5,-11.0,43.0
304,Olinda,75,EC,1551850374,88,,,79,3,-2.0,-79.0
305,Ergani,68,TR,1551849600,100,,,39,3,38.0,39.0
306,Ampanihy,36,MG,1551851151,83,,,77,14,-24.0,44.0
307,Mastic Beach,1,US,1551851150,45,,,28,9,40.0,-72.0
308,Fria,0,GN,1551851152,89,,,65,2,10.0,-13.0
309,Khasan,76,RU,1551851152,69,,,40,2,42.0,130.0
310,Moose Factory,1,CA,1551848400,83,,,-9,5,51.0,-80.0
311,Coihueco,0,CL,1551848400,70,,,46,3,-36.0,-71.0
312,Evensk,68,RU,1551851152,100,,,13,7,61.0,159.0
313,Samarai,44,PG,1551851152,100,,,81,2,-10.0,150.0
314,Chapais,1,CA,1551848400,83,,,-4,5,49.0,-74.0
315,Bolshoye Murashkino,88,RU,1551851153,95,,,35,19,55.0,44.0
316,Litovko,8,RU,1551851153,59,,,28,3,49.0,135.0
317,Gelemso,76,ET,1551851153,96,,,60,3,8.0,40.0
318,Port Hardy,20,CA,1551848400,63,,,30,8,50.0,-127.0
319,Katsuura,90,JP,1551849883,81,,,53,2,33.0,134.0
320,Wanaka,0,NZ,1551851153,26,,,70,3,-44.0,169.0
321,Ugoofaaru,20,MV,1551851154,99,,,83,9,5.0,73.0
322,Tamiahua,92,MX,1551851154,100,,,57,18,21.0,-97.0
323,Bull Savanna,0,JM,1551851154,88,,,63,2,17.0,-77.0
324,Dagda,0,LV,1551851154,81,,,14,10,56.0,27.0
325,Yuci,0,CN,1551850200,9,,,50,13,37.0,112.0
326,Coihaique,75,CL,1551848400,93,,,51,9,-45.0,-72.0
327,Finnsnes,90,NO,1551851116,92,,,23,21,69.0,17.0
328,Kedrovyy,0,RU,1551848400,39,,,30,8,56.0,91.0
329,Pyapon,0,MM,1551851155,66,,,85,6,16.0,95.0
330,Meulaboh,8,ID,1551851155,93,,,87,4,4.0,96.0
331,Prince Rupert,1,CA,1551848400,100,,,32,9,54.0,-130.0
332,Atambua,56,ID,1551851155,100,,,80,5,-9.0,124.0
333,Souillac,0,FR,1551851150,58,,,54,21,45.0,0.0
334,Pisco,75,PE,1551848400,78,,,73,4,-13.0,-76.0
335,Wajima,75,JP,1551848400,41,,,57,21,37.0,136.0
336,Lyuban,20,BY,1551851156,96,,,30,9,52.0,28.0
337,Rottenmann,20,AT,1551851131,92,,,37,2,47.0,14.0
338,Tuy Hoa,0,VN,1551851156,68,,,86,9,13.0,109.0
339,Gizo,0,IL,1551850631,87,,,55,1,31.0,34.0
340,Nauta,88,PE,1551851156,96,,,74,3,-4.0,-73.0
341,Kenora,90,CA,1551850967,77,,,3,4,49.0,-94.0
342,Kabalo,32,CD,1551851157,95,,,72,4,-6.0,26.0
343,Bilma,0,NE,1551851157,30,,,49,5,18.0,12.0
344,Dingle,0,PH,1551851157,42,,,90,12,11.0,122.0
345,Zabid,0,YE,1551851157,60,,,62,1,14.0,44.0
346,Tevaitoa,88,PF,1551851157,100,,,84,7,-16.0,-151.0
347,Saint-Pierre,0,FR,1551850924,80,,,44,16,48.0,4.0
348,San Javier,68,ES,1551851141,93,,,57,2,37.0,0.0
349,Mount Gambier,75,AU,1551848400,48,,,60,17,-37.0,140.0
350,Goderich,56,CA,1551850925,62,,,14,3,43.0,-81.0
351,Micheweni,0,TZ,1551851159,100,,,83,11,-4.0,39.0
352,Batemans Bay,8,AU,1551851130,46,,,71,1,-35.0,150.0
353,Waingapu,56,ID,1551851159,96,,,81,5,-9.0,120.0
354,Tual,92,ID,1551851159,100,,,83,6,-5.0,132.0
355,Tura,92,IN,1551851159,83,,,68,2,25.0,90.0
356,Cordoba,48,CO,1551851159,92,,,52,2,5.0,-73.0
357,Codrington,0,AU,1551850946,52,,,96,14,-28.0,153.0
358,Buala,56,SB,1551851160,89,,,84,6,-8.0,159.0
359,Bongor,0,TD,1551851160,33,,,76,8,10.0,15.0
360,Vardo,90,US,1551851147,57,,,24,16,39.0,-77.0
361,Kostomuksha,8,RU,1551851160,71,,,3,7,64.0,30.0
362,Serov,92,RU,1551851160,82,,,20,10,59.0,60.0
363,Kasongo-Lunda,48,CD,1551851160,96,,,69,1,-6.0,16.0
364,Dunedin,0,NZ,1551850828,73,,,66,8,-45.0,170.0
365,San Quintin,0,PH,1551851161,46,,,87,7,17.0,120.0
366,Banda Aceh,24,ID,1551851161,78,,,85,4,5.0,95.0
367,Metz,0,FR,1551850839,80,,,43,14,49.0,6.0
368,Marsa Matruh,75,EG,1551848400,93,,,46,3,31.0,27.0
369,Hailar,12,CN,1551851161,34,,,34,14,49.0,119.0
370,Leninskoye,90,RU,1551848400,85,,,21,8,54.0,82.0
371,Paracuru,75,BR,1551850703,88,,,79,8,-3.0,-39.0
372,Colares,40,PT,1551851156,93,,,59,23,38.0,-9.0
373,Itarema,92,BR,1551851162,99,,,73,5,-2.0,-39.0
374,Vilhena,24,BR,1551851162,95,,,71,2,-12.0,-60.0
375,Saint-Georges,20,CA,1551851152,86,,,5,4,46.0,-70.0
376,Bria,0,CF,1551851163,47,,,78,8,6.0,21.0
377,Kathu,0,ZA,1551851118,53,,,73,11,-27.0,23.0
378,Mingyue,36,CN,1551851163,40,,,40,4,43.0,128.0
379,Koubia,0,GN,1551851163,45,,,58,4,11.0,-11.0
380,Kavaratti,8,IN,1551851163,100,,,81,15,10.0,72.0
381,Phalaborwa,92,ZA,1551848400,83,,,73,6,-23.0,31.0
382,South Valley,1,US,1551851150,45,,,48,5,35.0,-106.0
383,Abnub,0,EG,1551848400,66,,,50,5,27.0,31.0
384,Whitehorse,5,CA,1551848400,51,,,12,11,60.0,-135.0
385,Palmares do Sul,68,BR,1551851111,97,,,69,4,-30.0,-50.0
386,Taltal,8,CL,1551851164,98,,,55,1,-25.0,-70.0
387,Jining,0,CN,1551851165,40,,,56,17,35.0,116.0
388,Veraval,0,FR,1551851158,81,,,50,17,49.0,0.0
389,Elko,90,US,1551851127,86,,,37,4,40.0,-115.0
390,Bangkalan,40,ID,1551850200,79,,,84,11,-7.0,112.0
391,Chernenko,68,UA,1551851165,90,,,40,7,47.0,37.0
392,Cap Malheureux,40,MU,1551851044,66,,,84,8,-19.0,57.0
393,Puqi,76,CN,1551851165,96,,,58,9,29.0,113.0
394,Long Beach,1,US,1551851159,51,,,39,6,30.0,-89.0
395,Westport,90,IE,1551850984,93,,,41,12,53.0,-9.0
